"año";"mes";"categoria";"ventas";"ranking_categorias";"sum_acumulado_categoria";"venta_mensual_contra_promedio"
2024;10;Muebles;1200000.00;2;16670000.00;Bajo el promedio
2024;10;Audio;290000.00;3;8900000.00;Bajo el promedio
2024;11;Electrodomésticos;2480000.00;1;33000000.00;Bajo el promedio
2024;11;Cocina;1170000.00;2;11150000.00;Bajo el promedio
2024;11;Hogar;630000.00;3;8575000.00;Bajo el promedio
2024;11;Muebles;190000.00;4;16860000.00;Bajo el promedio
2024;11;Accesorios;135000.00;5;2335000.00;Bajo el promedio
2024;12;Cocina;1320000.00;1;12470000.00;Exitoso
2024;12;Tecnología;1140000.00;2;34330000.00;Bajo el promedio
2024;12;Audio;850000.00;3;9750000.00;Exitoso
2024;12;Accesorios;485000.00;4;2820000.00;Exitoso
2025;1;Tecnología;6000000.00;1;40330000.00;Exitoso
2025;1;Electrodomésticos;5720000.00;2;38720000.00;Exitoso
2025;1;Audio;580000.00;3;10330000.00;Bajo el promedio
2025;1;Cocina;310000.00;4;12780000.00;Bajo el promedio
2025;2;Tecnología;13580000.00;1;53910000.00;Exitoso
2025;2;Cocina;1240000.00;2;14020000.00;Bajo el promedio
2025;2;Accesorios;350000.00;3;3170000.00;Exitoso
2025;2;Audio;170000.00;4;10500000.00;Bajo el promedio
2025;3;Cocina;1100000.00;1;15120000.00;Bajo el promedio
2025;3;Muebles;840000.00;2;17700000.00;Bajo el promedio
2025;3;Iluminación;535000.00;3;4365000.00;Exitoso
2025;3;Audio;510000.00;4;11010000.00;Bajo el promedio
2025;4;Electrodomésticos;2700000.00;1;41420000.00;Bajo el promedio
2025;4;Accesorios;630000.00;2;3800000.00;Exitoso
2025;4;Audio;580000.00;3;11590000.00;Bajo el promedio
2025;4;Hogar;330000.00;4;8905000.00;Bajo el promedio
2025;5;Muebles;2640000.00;1;20340000.00;Exitoso
2025;5;Electrodomésticos;1350000.00;2;42770000.00;Bajo el promedio
2025;5;Cocina;650000.00;3;15770000.00;Bajo el promedio
2025;5;Hogar;550000.00;4;9455000.00;Bajo el promedio
2025;5;Iluminación;240000.00;5;4605000.00;Bajo el promedio
2025;6;Electrodomésticos;7120000.00;1;49890000.00;Exitoso
2025;6;Audio;3190000.00;2;14780000.00;Exitoso
2025;6;Accesorios;560000.00;3;4360000.00;Exitoso
2025;7;Electrodomésticos;5700000.00;1;55590000.00;Exitoso
2025;7;Muebles;1050000.00;2;21390000.00;Bajo el promedio
2025;7;Cocina;520000.00;3;16290000.00;Bajo el promedio
2025;7;Iluminación;440000.00;4;5045000.00;Exitoso
2025;8;Electrodomésticos;1700000.00;1;57290000.00;Bajo el promedio
2025;8;Muebles;1200000.00;2;22590000.00;Bajo el promedio
2025;8;Audio;735000.00;3;15515000.00;Bajo el promedio
2025;8;Cocina;390000.00;4;16680000.00;Bajo el promedio
2025;9;Tecnología;9660000.00;1;63570000.00;Exitoso
2025;9;Cocina;1760000.00;2;18440000.00;Exitoso
2025;9;Accesorios;210000.00;3;4570000.00;Bajo el promedio
2025;9;Audio;170000.00;4;15685000.00;Bajo el promedio
2025;10;Tecnología;5880000.00;1;69450000.00;Exitoso
2025;10;Electrodomésticos;1080000.00;2;58370000.00;Bajo el promedio
2025;10;Accesorios;315000.00;3;4885000.00;Exitoso
2025;11;Cocina;1980000.00;1;20420000.00;Exitoso
2025;11;Electrodomésticos;900000.00;2;59270000.00;Bajo el promedio
2025;11;Tecnología;665000.00;3;70115000.00;Bajo el promedio
2025;11;Accesorios;140000.00;4;5025000.00;Bajo el promedio
2025;12;Cocina;1630000.00;1;22050000.00;Exitoso
2025;12;Tecnología;1520000.00;2;71635000.00;Bajo el promedio
2025;12;Accesorios;630000.00;3;5655000.00;Exitoso
2026;1;Tecnología;10800000.00;1;82435000.00;Exitoso
2026;1;Electrodomésticos;6490000.00;2;65760000.00;Exitoso
2026;1;Cocina;520000.00;3;22570000.00;Bajo el promedio
2026;1;Iluminación;380000.00;4;5425000.00;Exitoso
2026;2;Tecnología;3635000.00;1;86070000.00;Bajo el promedio
2026;2;Cocina;1430000.00;2;24000000.00;Exitoso
2026;2;Iluminación;360000.00;3;5785000.00;Exitoso
2026;3;Cocina;5200000.00;1;29200000.00;Exitoso
2026;3;Electrodomésticos;2760000.00;2;68520000.00;Bajo el promedio
2026;3;Accesorios;360000.00;3;6015000.00;Exitoso
2026;4;Electrodomésticos;5650000.00;1;74170000.00;Exitoso
2026;4;Tecnología;2520000.00;2;88590000.00;Bajo el promedio
2026;4;Cocina;2020000.00;3;31220000.00;Exitoso
2026;4;Iluminación;455000.00;4;6240000.00;Exitoso
2026;4;Accesorios;140000.00;5;6155000.00;Bajo el promedio
2026;5;Cocina;3360000.00;1;34580000.00;Exitoso
2026;5;Electrodomésticos;900000.00;2;75070000.00;Bajo el promedio
2026;5;Tecnología;840000.00;3;89430000.00;Bajo el promedio
2026;5;Audio;420000.00;4;16105000.00;Bajo el promedio
2026;5;Iluminación;330000.00;5;6570000.00;Bajo el promedio
2026;5;Accesorios;250000.00;6;6405000.00;Bajo el promedio
2026;5;Hogar;250000.00;6;9705000.00;Bajo el promedio
2026;6;Tecnología;2100000.00;1;91530000.00;Bajo el promedio
2026;6;Electrodomésticos;1880000.00;2;76950000.00;Bajo el promedio
2026;6;Hogar;1465000.00;3;11170000.00;Exitoso
2026;6;Muebles;950000.00;4;23540000.00;Bajo el promedio
2026;6;Audio;425000.00;5;16530000.00;Bajo el promedio
2026;6;Accesorios;270000.00;6;6675000.00;Bajo el promedio
2026;7;Tecnología;3420000.00;1;94950000.00;Bajo el promedio
2026;7;Muebles;1400000.00;2;24940000.00;Exitoso
2026;7;Hogar;1260000.00;3;12430000.00;Exitoso
2026;7;Accesorios;790000.00;4;7465000.00;Exitoso
2026;7;Audio;420000.00;5;16950000.00;Bajo el promedio
2026;8;Electrodomésticos;3460000.00;1;80410000.00;Exitoso
2026;8;Audio;870000.00;2;17820000.00;Exitoso
2026;8;Hogar;500000.00;3;12930000.00;Bajo el promedio
2026;8;Cocina;260000.00;4;34840000.00;Bajo el promedio
2026;8;Iluminación;165000.00;5;6735000.00;Bajo el promedio
